customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,1,0,-1.2774445836787656,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,-1.1603229160349193,-0.9941940877241975,0
5575-GNVDE,Male,0,0,0,0.06632741908223598,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,-0.2596289419448806,-0.17373981825040702,0
3668-QPYBK,Male,0,0,0,-1.2367242199587352,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,-0.3626603559551803,-0.9596491092068432,1
7795-CFOCW,Male,0,0,0,0.5142514200025698,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),-0.7465354629935549,-0.19524770717404713,0
9237-HQITU,Female,0,0,0,-1.2367242199587352,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.19736523310080326,-0.9404574544749797,1
9305-CDSKC,Female,0,0,0,-0.9924020376385531,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,1.1595456961969886,-0.6453692184426378,1
1452-KIOVK,Male,0,0,1,-0.4223169455581282,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),0.8089065291619363,-0.14731268909089845,0
6713-OKOMC,Female,0,0,0,-0.9109613101984924,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,-1.1636465100352518,-0.8741690378436583,0
7892-POOKP,Female,0,1,0,-0.1779947632379461,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,1.330710787214099,0.3365155445113559,1
6388-TABGU,Male,0,0,1,1.2064976032430856,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),-0.28621769394753876,0.5314762853391825,0
